Date,Service,DailyCost_USD,Is_Anomaly
2025-01-01,AmazonEC2,119.2,False
2025-01-02,AmazonEC2,118.19,False
2025-01-03,AmazonEC2,119.06,False
2025-01-04,AmazonEC2,89.58,False
2025-01-05,AmazonEC2,88.97,False
2025-01-06,AmazonEC2,118.66,False
2025-01-07,AmazonEC2,118.87,False
2025-01-08,AmazonEC2,117.93,False
2025-01-09,AmazonEC2,115.8,False
2025-01-10,AmazonEC2,119.59,False
2025-01-11,AmazonEC2,81.13,False
2025-01-12,AmazonEC2,84.16,False
2025-01-13,AmazonEC2,120.8,False
2025-01-14,AmazonEC2,125.62,False
2025-01-15,AmazonEC2,124.11,False
2025-01-16,AmazonEC2,117.1,False
2025-01-17,AmazonEC2,118.89,False
2025-01-18,AmazonEC2,80.38,False
2025-01-19,AmazonEC2,81.1,False
2025-01-20,AmazonEC2,133.39,False
2025-01-21,AmazonEC2,112.88,False
2025-01-22,AmazonEC2,120.84,False
2025-01-23,AmazonEC2,119.92,False
2025-01-24,AmazonEC2,132.64,False
2025-01-25,AmazonEC2,97.48,False
2025-01-26,AmazonEC2,91.7,False
2025-01-27,AmazonEC2,126.07,False
2025-01-28,AmazonEC2,120.99,False
2025-01-29,AmazonEC2,132.45,False
2025-01-30,AmazonEC2,113.91,False
2025-01-31,AmazonEC2,124.66,False
2025-02-01,AmazonEC2,80.75,False
2025-02-02,AmazonEC2,89.13,False
2025-02-03,AmazonEC2,114.74,False
2025-02-04,AmazonEC2,125.43,False
2025-02-05,AmazonEC2,123.77,False
2025-02-06,AmazonEC2,125.26,False
2025-02-07,AmazonEC2,124.53,False
2025-02-08,AmazonEC2,90.75,False
2025-02-09,AmazonEC2,89.89,False
2025-02-10,AmazonEC2,128.8,False
2025-02-11,AmazonEC2,132.17,False
2025-02-12,AmazonEC2,128.04,False
2025-02-13,AmazonEC2,132.2,False
2025-02-14,AmazonEC2,122.73,False
2025-02-15,AmazonEC2,85.27,False
2025-02-16,AmazonEC2,86.56,False
2025-02-17,AmazonEC2,115.82,False
2025-02-18,AmazonEC2,130.29,False
2025-02-19,AmazonEC2,132.8,False
2025-02-20,AmazonEC2,290.55,True
2025-02-21,AmazonEC2,120.58,False
2025-02-22,AmazonEC2,90.39,False
2025-02-23,AmazonEC2,95.91,False
2025-02-24,AmazonEC2,125.15,False
2025-02-25,AmazonEC2,123.45,False
2025-02-26,AmazonEC2,122.91,False
2025-02-27,AmazonEC2,123.44,False
2025-02-28,AmazonEC2,123.88,False
2025-03-01,AmazonEC2,90.06,False
2025-03-02,AmazonEC2,94.76,False
2025-03-03,AmazonEC2,129.83,False
2025-03-04,AmazonEC2,124.52,False
2025-03-05,AmazonEC2,126.83,False
2025-03-06,AmazonEC2,128.95,False
2025-03-07,AmazonEC2,133.98,False
2025-03-08,AmazonEC2,102.02,False
2025-03-09,AmazonEC2,96.25,False
2025-03-10,AmazonEC2,127.01,False
2025-03-11,AmazonEC2,123.51,False
2025-03-12,AmazonEC2,127.47,False
2025-03-13,AmazonEC2,135.02,False
2025-03-14,AmazonEC2,127.64,False
2025-03-15,AmazonEC2,88.84,False
2025-03-16,AmazonEC2,97.93,False
2025-03-17,AmazonEC2,124.26,False
